,Unnamed: 0,IDPERSON,ID11,ID13
49370,62226,94502021202,1,3
49371,163775,280401171103,1,4
49372,160535,273107010108,1,2
49373,168427,281806150102,3,3
49374,81850,130703120102,3,5
49375,162815,280213110902,1,2
49376,198141,330504121104,1,3
49377,131113,232605120105,1,3
49378,100784,201202101103,2,3
49379,82583,140701120201,1,2
49380,119271,221102051104,1,3
49381,79330,103203131104,2,2
49382,173186,290533091103,1,2
49383,140975,241207120105,1,2
49384,15213,30907030101,1,3
49385,34554,71024080102,1,4
49386,197636,330401040103,1,1
49387,114754,220202083201,1,3
49388,184959,292105020102,1,4
49389,94776,190917050106,1,2
49390,198153,330505011101,1,3
49391,185600,292402200108,1,3
49392,8802,20803211102,1,5
49393,7416,20508030103,1,1
49394,7636,20511031104,1,4
49395,30974,61905030303,1,4
49396,99143,191709120106,1,2
49397,54569,90902060903,1,4
49398,11796,30113150103,1,3
49399,97048,191117130104,1,2
49400,25946,60804261101,1,4
49401,155087,272314090106,1,2
49402,110324,211604190103,1,4
49403,111844,211906050107,1,1
49404,175645,291004060104,1,2
